Source,Date,Location Name,Name,Star Rating,Comment,Images
Yelp,2/21/2018,Florida,Ryan S.,5,"This place is a great rehab. The staff cares for the clients. Beautiful homes by the gulf. If you or a loved one needs a place to sober up, this is a damn fine place to try.",fl-ryan-s.jpg
Rehabs,8/19/2019,Florida,Dan V.,5,It is a wonderful program as long as you pay attention. I have learned a lot from being there. The main thing is you have to do it for you and give it 100%. I found that the majority of the people that work there are actually very concerned about the people who walk thru the doors each and everyday. I definitely would recommend this facility to anyone who wants to learn a new way of life.,
Rehabs,7/17/2018,Florida,Jessica S.,4,Very nice program. Thank you for another chance at life.,
Rehabs,6/18/2018,Florida,Lawrence F.,5,Best decision I ever made!!,
Rehabs,6/6/2018,Florida,Doug R.,4,Best move I ever made. I appreciate the staff for all you do.,
Rehabs,6/1/2018,Florida,Jon K.,5,Journey Pure has given me way more than my expectations. They truly saved my life. The hospitality is something money can not buy! The staff was extremely helpful in every situation and I have had an unbelievable experience. I could never repay them for what they have done for me.,
Rehabs,5/31/2018,Florida,Sharon B.,5,The staff is absolutely amazing! It's what makes Journey Pure the best facility I have ever experienced! I would recommend Journey Pure to any family or friends battling alcoholism and addictions. If I could do it again I wouldn't change a thing. Thank you Journey Pure!,
Rehabs,5/31/2018,Florida,Cynthia T.,3,My Journey Pure experience was a decent one. There were some staff that were not professional and not organized at times. There are some staff that are doing an excellent job.,
Rehabs,5/21/2018,Florida,Dennis L.,5,JourneyPure was excellent. The staff and techs were beyond amazing! JourneyPure saved my life and for that I am forever grateful.,
Rehabs,5/21/2018,Florida,Justin S.,5,I feel my time at Journey Pure was very helpful and has given me the tools I need to maintain sobriety and have a full and productive life.,
Rehabs,5/21/2018,Florida,Brandon L.,4,"The staff and accommodations were awesome, and I would highly recommend this place to anyone seeking treatment from drugs or alcohol. Awesome place!!!",
Rehabs,5/1/2018,Florida,Charles K.,4,I found the staff to be extremely helpful and concerned about the recovery process and progress of the patients. The best part was most definitely the therapy staff.,
Rehabs,5/1/2018,Florida,Margaret E.,5,"This place saved my life. The staff is amazing. The houses are beautiful. And, the support I received is top-notch. if you are looking to change your life for the better, Journey Pure is the place you need to come to.",
Rehabs,4/26/2018,Florida,Matt C.,4,"Overall, this place brought me back from the edge. I could not have done this by myself. The staff here gave me tools to use when I got home.",
Rehabs,4/6/2018,Florida,Barb W.,5,The staff is very friendly and really do care about their patients. Journey Pure has a wonderful program and great therapists.,
Rehabs,4/6/2018,Florida,Mike N.,5,"Journey Pure healed me physically, emotionally, spiritually and mentally! The staff was amazing from detox techs, therapists, nurses, docs and all! The housing was was amazing with the blue waters of the Gulf of Mexico across the street. The pool and home-cooked meals of bbq shrimp salmon and steaks. Equine therapy, beach trips and meditation. The outdoors did a great job for me. I regained my life, laughter, confidence and made incredible connections and friends. I even extended my stay so I could make even more of my stay at JP. I highly recommend coming here.",
